# Fields
# Client tax id; rental start date; rental duration; type of camping space; minimum dimensions
123456789;2023-06-01;150;CARAVAN;250x350
501234567;2023-06-05;40;CAR;250x400
150987654;2023-06-10;10;TENT;150x200
150987654;2023-06-20;60;CAR;200x300
507654321;2023-06-25;5;TENT;160x200
501234567;2023-06-30;15;CARAVAN;240x400
507654321;2023-07-05;30;CAR;260x350
157894320;2023-07-10;2;TENT;180x250
509876543;2023-07-15;120;CARAVAN;300x450
157894320;2023-07-20;20;CAR;210x300
507654321;2023-07-25;15;TENT;160x240
501234567;2023-07-30;150;CARAVAN;250x300
505321987;2023-08-04;90;CAR;220x300
157894320;2023-08-09;12;TENT;200x400
505321987;2023-08-14;120;CARAVAN;300x350
168975432;2023-08-19;6;CAR;200x290
505321987;2023-08-29;150;CARAVAN;250x390
157894320;2023-09-03;10;CAR;190x300
